Nombre;Sector;Palabras clave:;Fecha de incorporación al catálogo:;Fecha de actualización:;Fecha de obtención de datos desde:;Fecha de obtención de datos hasta:;Frecuencia de actualización:;Responsable del conjunto de datos:;Editor:;Licencia:;Lugar:;Formatos;Descargas;URL
Taxi. Tarifas, suplementos, municipios, paradas eventuales, régimen de descanso y duración del servicio;transporte;tarifas, municipios, paradas eventuales, régimen de descanso y suplemntos;16/10/2017;22/05/2025;01/01/2017;01/01/2025;anual;Dirección General de Gestión y Vigilancia de la Circulación;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,;631458;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=af8798f26242f510VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Parque móvil municipal;sector-publico;flota, automóvil, automovilístico, Flota municipal de vehículos, Parque automovilístico municipal;29/09/2017;17/10/2025;01/01/2017;30/09/2025;trimestral;Dirección General de Contratación y Servicios;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;15432;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=39cddd906cbee510VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Inspecciones técnicas de aparcamientos municipales;urbanismo-infraestructuras;Residentes, públicos, Madrid, PAR, informe, obras, preventivo, rotación, disuasorios;02/10/2017;03/10/2025;01/08/2017;30/09/2025;mensual;Dirección General de Planificación e Infraestructuras de Movilidad;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;3744;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=2fab1fcc397ce510VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Datos de uso de portales madrid.es;sector-publico;datos, portales, madrid.es;21/09/2017;20/08/2025;01/01/2017;30/06/2025;trimestral;Dirección General de Atención a la Ciudadanía;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;3635;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=a6b68d4432e9e510VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Inspecciones de locales sujetos a la Ley de espectáculos públicos y actividades recreativas;seguridad;Inspecciones,industrias,lepar;26/12/2017;01/10/2025;01/01/2017;31/08/2025;trimestral;Dirección General de la Policía Municipal;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;13551;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=efe9ab5a7831e510VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Instalaciones hidráulicas ornamentales en vías públicas;medio-ambiente;Inventario, instalaciones ,hidráulicas, ornamentales,TranspaInstalacionesHidraulicas,TranspaMedioAmbiente;24/08/2017;20/03/2025;01/01/2017;30/09/2024;trimestral;Dirección General de Conservación de Vías Públicas;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,geo,;10818;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=1c49ab562631e510VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Catálogo de Edificios Protegidos;urbanismo-infraestructuras;edificios protegidos, plan general, patrimonio, pgoum, geoportal;13/09/2017;;;;diaria;Dirección General de Planificación Estratégica;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,shp,;30733;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=86833de141e0e510VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Relación de Puestos de Trabajo (RPT) del Ayuntamiento de Madrid y Organismos Autónomos 2017 (3T. 16 de agosto 2017);sector-publico; RPT, Plantilla, Recursos humanos;21/08/2017;20/03/2018;;01/06/2017;informacionhistorica;Dirección General de Costes y Gestión de Personal;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;1268;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=d701b129fd4fd510VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Concesiones de zonas verdes;medio-ambiente;PARQUES, JARDINES, BIENES, INSTRUCCIÓN 5/2014, CONCESIONES, QUIOSCO, RESTAURANTE, MERENDERO, MIRADOR, ;16/08/2017;15/04/2025;01/01/2017;31/12/2024;anual;Dirección General de Gestión del Agua y Zonas Verdes;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;10727;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=3700f63898aed510VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Calidad del agua regenerada;medio-ambiente;Agua residual tratada, Wastewater treated, 91/271/CEE, EDAR, ERAR, WWTP, Agua Regenerada, Water Reuse, Real Decreto 1620/2007, Reuse, Recycling, ;16/08/2017;03/09/2025;01/01/2017;30/06/2025;trimestral;Dirección General de Gestión del Agua y Zonas Verdes;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;14833;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=33bcb9549c9ed510VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Inventario de zonas verdes;medio-ambiente;PARQUES, JARDINES, BIENES, INSTRUCCIÓN 5/2014;11/08/2017;15/04/2025;01/01/2017;31/12/2024;anual;Dirección General de Gestión del Agua y Zonas Verdes;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;15521;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=79c6adbb460dd510VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Actuaciones en materia de limpieza urbana;medio-ambiente;impieza,urbana.;11/08/2017;28/08/2025;01/01/2017;30/06/2025;trimestral;Dirección General de Servicios de Limpieza y Residuos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;38161;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=6d45adbb460dd510VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
